nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
361.9421,303.5996,406.4263,257.1621,316.4106,256.2502,467.2369,271.9571,260.9033,272.6183,548.3459,423.8443,198.3857,416.9359
363.6514,305.0506,407.2377,257.2178,317.2056,257.4086,467.2448,269.4154,260.8032,272.7124,548.3799,422.7152,196.8369,418.4832
360.4535,307.1805,404.5533,259.8502,314.5874,260.4237,466.8638,273.6514,260.1862,277.5428,548.2731,426.096,200.8188,418.6272
355.9339,308.4934,400.2339,260.3373,310.9782,262.1275,465.6078,272.0959,259.0907,278.1413,547.717,422.9038,199.6938,416.8639
362.0057,319.6108,406.6538,273.5504,316.5849,272.1496,466.8989,286.4049,260.3639,285.8242,537.9513,426.0176,202.9963,418.0163
361.6028,317.2057,405.7377,270.2842,315.5785,270.6627,464.0551,279.0482,258.3998,281.6264,544.797,410.8231,196.2237,413.77
357.2112,318.8045,401.489,270.686,312.369,270.473,463.3272,279.0841,258.2099,280.9354,539.6364,422.9811,199.9258,417.2497
353.7385,315.399,398.5596,268.3988,309.0114,268.2199,461.9442,280.1311,255.7915,282.0662,541.622,426.5372,198.6128,417.5642
353.9434,315.684,399.1676,268.692,310.2128,267.8235,462.5359,280.0826,257.3688,280.0077,540.4438,426.321,197.338,417.3545
354.6667,315.2887,399.6206,268.95,310.0633,268.3331,461.8399,281.6418,256.0903,282.4308,538.5573,425.7759,198.3579,417.4952
358.2437,314.2435,403.2525,266.8961,312.9039,266.919,466.0964,279.2006,258.4576,281.3608,542.8622,425.8955,199.2468,417.7014
352.6778,320.172,399.0114,272.4184,309.2246,270.8098,463.9323,281.5735,256.7137,279.7396,539.5068,423.5737,199.5409,414.3653
370.0167,321.0073,416.1182,274.1043,324.5271,271.4292,473.4236,284.8077,265.0366,280.6658,548.2226,419.4647,196.7006,416.4024
369.7315,320.1167,415.431,274.0581,324.6216,271.2508,472.3951,285.4226,265.73,281.1182,546.3417,418.8084,200.8192,414.2471
436.4146,274.9978,481.4481,230.4471,398.619,225.4175,537.4046,245.5665,348.5749,235.0515,605.4283,422.4912,269.6989,405.9937
437.5466,275.5588,482.3758,230.6973,399.5611,225.0896,536.7416,244.8625,348.4488,233.2322,604.8419,423.6306,268.9632,406.6606
435.7147,276.5495,480.3425,231.1054,397.8225,226.6744,537.0375,244.5756,348.4142,235.4227,605.4052,423.3439,270.4703,406.4283
434.9741,276.8693,479.936,232.2179,397.9964,226.2683,535.1335,245.9015,348.3046,233.3746,603.5306,422.4812,269.5304,405.9095
434.6183,277.5529,479.7695,233.1887,397.7289,227.3633,535.4476,247.5006,348.1906,235.1293,604.1863,423.2215,268.9382,406.3642
438.2054,278.9588,482.1703,234.1769,399.6031,229.2845,535.1384,247.3279,347.5002,237.3078,603.8108,423.5264,265.3412,408.7954
437.2933,279.0271,481.6774,234.2932,398.896,229.0708,535.9449,247.2287,347.5761,236.699,603.2296,421.3496,269.4471,405.1458
435.5702,279.8246,480.9056,235.6679,398.6343,229.5135,536.1129,250.2097,348.3856,236.9512,604.7897,424.6127,266.7681,407.289
435.8702,279.7995,481.027,235.1016,397.9835,228.9309,535.3942,249.1899,346.4832,236.2257,604.1746,424.204,266.1905,407.6908
435.5898,280.1971,480.7793,235.8088,398.1349,229.9198,535.8234,250.5814,347.3042,237.8676,604.1348,423.3994,265.7178,408.4758
435.9236,279.0786,480.834,234.3804,397.8826,229.4185,535.9265,248.8753,346.9522,238.3034,604.3093,422.558,266.3341,407.5374
434.0583,280.7059,478.5604,234.9979,396.1002,230.1111,534.1501,246.4572,345.9895,236.4445,605.5609,422.5348,267.7388,406.3809
431.5324,282.2037,476.5143,235.9757,394.0823,230.9283,533.9747,245.6919,345.1433,235.2956,608.5917,422.2849,266.8707,405.6214
