nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
522.9373, 137.8203, 344.8981, 140.334, 581.4, 266.2386, 284.3563, 271.6119, 370.6996, 229.9365, 403.1663, 185.7624, 333.8734, 189.6279
449.9416, 155.8761, 286.5902, 166.6595, 528.5231, 286.5107, 222.3807, 304.0927, 373.1541, 231.703, 405.7845, 187.302, 334.5905, 190.1979
450.9428, 154.1031, 282.5431, 162.8752, 532.9556, 289.2029, 215.8825, 298.9135, 368.6433, 231.3579, 401.5036, 185.8005, 330.5771, 189.9585
448.6386, 154.6925, 281.7239, 166.4305, 527.079, 289.3649, 221.8441, 307.8333, 369.1508, 229.8231, 401.8691, 184.9925, 330.1203, 188.9088
445.0656, 157.1967, 275.7462, 166.3864, 522.1617, 295.7361, 210.9963, 301.8665, 369.1508, 229.8231, 401.8691, 184.9925, 330.1203, 188.9088
445.0656, 157.1967, 275.7462, 166.3864, 522.1617, 295.7361, 210.9963, 301.8665, 364.6544, 230.8365, 395.9227, 186.1311, 326.1747, 191.6747
442.1163, 153.4016, 277.4443, 168.0594, 527.0898, 289.3602, 216.3904, 302.3969, 360.5011, 232.8354, 392.6588, 186.2732, 320.1259, 193.0082
439.5818, 154.9955, 268.6987, 170.9286, 523.8944, 295.918, 211.5025, 303.368, 357.4254, 234.2709, 389.3625, 187.9412, 319.8198, 194.2819
440.1121, 152.0425, 275.5658, 169.1364, 526.0787, 286.8594, 216.6283, 309.3458, 359.3057, 227.1169, 392.1937, 182.3774, 322.4213, 187.3558
441.8418, 154.2526, 277.1723, 167.7381, 527.0132, 285.9972, 217.3298, 306.4127, 363.6431, 225.0424, 394.6626, 179.3778, 325.1029, 186.0458
442.0011, 149.3994, 277.8481, 167.1153, 527.3049, 284.5073, 219.0432, 306.6539, 362.5358, 224.7223, 394.5914, 179.2306, 324.665, 184.7658
442.1818, 150.2683, 277.1331, 165.2054, 527.3226, 285.484, 217.2615, 307.8959, 361.657, 221.7427, 392.8925, 176.7049, 323.7617, 182.9752
440.4899, 150.5502, 277.5243, 167.1069, 527.1678, 285.9036, 217.4885, 308.5402, 361.673, 224.5068, 394.3196, 179.264, 324.1729, 183.9179
442.3795, 150.9664, 277.2282, 163.9824, 526.7159, 287.1655, 218.3515, 307.2587, 358.2915, 225.0796, 391.1118, 178.6053, 320.2651, 184.4216
442.2876, 148.9799, 275.2443, 164.7735, 528.954, 288.4708, 218.91, 308.5986, 357.4779, 224.7336, 390.5633, 178.0344, 319.5433, 183.6
442.0118, 147.6824, 274.8182, 163.0524, 528.527, 288.1161, 216.9802, 308.2375, 362.4539, 222.5441, 394.4779, 177.1138, 323.9623, 183.0427
443.2432, 150.6598, 277.2674, 166.6975, 528.8617, 287.2381, 218.9957, 304.8258, 430.5165, 304.9311, 472.0994, 260.0953, 397.7221, 253.1082
523.7729, 237.8875, 352.3303, 222.8567, 588.6264, 388.0891, 277.2835, 379.3325, 431.08, 305.2569, 472.8531, 260.1864, 397.9571, 253.7695
526.3837, 238.4327, 353.4982, 224.9381, 590.7592, 390.3487, 280.507, 376.9966, 430.2484, 306.1374, 472.4108, 262.4417, 398.5803, 254.723
525.3497, 241.8412, 354.6779, 225.0218, 589.2057, 389.0475, 279.6898, 377.7315, 432.2312, 308.9049, 473.8724, 265.3069, 400.6496, 258.6214
527.8831, 243.5791, 357.9059, 228.8307, 590.2706, 387.0156, 281.6945, 376.4644, 434.1266, 304.929, 476.0179, 262.2823, 402.4743, 255.0474
528.7876, 244.0475, 358.6366, 228.2199, 589.0908, 387.5789, 283.3655, 372.3875, 431.9709, 308.7367, 475.001, 266.1656, 401.7114, 256.3663
528.6495, 246.5819, 358.7357, 224.9978, 591.4293, 391.1907, 283.2177, 375.5001, 435.0058, 305.801, 477.1314, 262.4301, 403.5464, 255.0957
